Ciudad,Año,v4_e_005,v4_e_007,v6_sc_005,v9_m_007,v9_m_009,v8_ma_01,v8_ma_02
Bogotá,2005,0.445,NA,24.7,NA,NA,NA,NA
Bogotá,2006,0.466,NA,19.2,NA,NA,NA,NA
Bogotá,2007,0.5479999999999999,NA,19.9,NA,NA,NA,NA
Bogotá,2008,0.621,NA,20.5,NA,NA,NA,NA
Bogotá,2009,0.619,NA,22.7,NA,NA,NA,NA
Bogotá,2010,0.581,NA,23.7,NA,NA,NA,NA
Bogotá,2011,0.5819,0.04,22.15,7.58,344,494.27,73.55
Bogotá,2012,0.6459999999999999,0.04,16.95,7.53,376,491.98,77.53
Bogotá,2013,0.672,0.04,16.72,6.96,383,491.26,74.69
Bogotá,2014,0.7120000000000001,0.025,17.5,8.24,385,490.34,73.71
Bogotá,2015,0.687,0.0363,17.41,7.06,384.86,483.16,73
Bogotá,2016,0.687,0.0208,16.32,7.41,385.8,467.24,68.1
